AÑO,MES,MAQUINA,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,PROVINCIA,PAIS,TIPO MAQUINA,FUENTE GENERACION,TECNOLOGIA,CATEGORIA HIDRAULICA,CATEGORIA REGION,GENERACION NETA
2021,1/8/2021,VGESTG11,VGES,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"660,6"
2021,1/8/2021,VGESTG14,VGES,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,VGESTG16,VGES,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"757,5"
2021,1/8/2021,VGESTG18,VGES,CTGESELG,CT VILLA GESELL-CATLANT.,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"47.842,3"
2021,1/8/2021,VIALDI01,VIAL,CTVIALAG,CT VIALE - AGGREKO,LITORAL,ENTRE RIOS,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"452,2"
2021,1/8/2021,VMARTG01,VMAR,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"0,0"
2021,1/8/2021,VMARTG02,VMAR,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"0,0"
2021,1/8/2021,VMARTG03,VMAR,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,"0,0"
2021,1/8/2021,VOBLTG01,VOBL,CTVOBLIG,CT VUELTA DE OBLIGADO,LITORAL,SANTA FE,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"157.031,1"
2021,1/8/2021,VOBLTG02,VOBL,CTVOBLIG,CT VUELTA DE OBLIGADO,LITORAL,SANTA FE,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,"147.177,3"
2021,1/8/2021,VTUDDI01,VTUD,CTVTUESG,CT VENADO TUERTO - SECCO,LITORAL,SANTA FE,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"920,6"
2021,1/8/2021,YACYHI,YACYHI,YACYRETG,E.B. YACYRETA,NORESTE,MISIONES,Argentina,TURB HIDRAULICA,Hidráulica,HID,Yacyretá,Nea,"721.131,7"
2021,1/8/2021,YANQDI01,YANQ,YANQUETG,BIO ENERGÍA YANQUETRUZ S.A.,CENTRO,SAN LUIS,Argentina,BIOGAS,Renovable,BIOG,,Centro,"704,2"
2021,1/8/2021,YPFATG01,YPFA,YPFLPEZA,YPF LOS PERALES AUTOG,PATAGONICA,SANTA CRUZ,Argentina,TURBO GAS,Térmica,TG,,Patagonia,"8.648,1"
2021,1/8/2021,SSALDI01,SSAL,CTSSALVG,CT SAN SALVADOR E.Rios -ENARSA,LITORAL,ENTRE RIOS,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"256,0"
2021,1/8/2021,BERIDI01,BERI,EMISSANG,EMSA GENERACION,NORESTE,MISIONES,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"63,4"
2021,1/8/2021,SANADI01,SANA,EMISSANG,EMSA GENERACION,NORESTE,MISIONES,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"271,6"
2021,1/8/2021,FRIATG01,FRIA,CTFRIASG,GENERACION FRIAS S.A.,NOROESTE,SGO.DEL ESTERO,Argentina,TURBO GAS,Térmica,TG,,Noa,"1.745,6"
2021,1/8/2021,BANDDI01,BAND,CTBANDEG,CT BANDERA SgoEstero - ENARSA,NOROESTE,SGO.DEL ESTERO,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"0,0"
2021,1/8/2021,PROCDI01,PROC,CTPROCAG,CT PRESIDENCIA ROCA,NORESTE,CHACO,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"99,9"
2021,1/8/2021,SCHADI01,SCHA,CTSMARTG,CT SAN MARTIN Chaco,NORESTE,CHACO,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"132,1"
2021,1/8/2021,COSMDI11,COSM,COSTANDG,MOTOGENERADORES COSTANERA,GRAN BS.AS.,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,"2.810,6"
2021,1/8/2021,RCHITG01,RCHI,CTRIOCHG,CT RIO CHICO - SPSE,PATAGONICA,SANTA CRUZ,Argentina,TURBO GAS,Térmica,TG,,Patagonia,"0,0"
2021,1/8/2021,RCHITG02,RCHI,CTRIOCHG,CT RIO CHICO - SPSE,PATAGONICA,SANTA CRUZ,Argentina,TURBO GAS,Térmica,TG,,Patagonia,"0,0"
2021,1/8/2021,RCHITG03,RCHI,CTRIOCHG,CT RIO CHICO - SPSE,PATAGONICA,SANTA CRUZ,Argentina,TURBO GAS,Térmica,TG,,Patagonia,"0,0"
2021,1/8/2021,LDLATG04,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,NEUQUEN,Argentina,TURBO GAS,Térmica,TG,,Comahue,"50.341,2"
2021,1/8/2021,JUMEEO,JUMEEO,CEOJUMEG,C.EOLICA EL JUME Sgo del Ester,NOROESTE,SGO.DEL ESTERO,Argentina,EOLICA,Renovable,EOL,,Noa,"1.211,0"
2021,1/8/2021,BARDDI01,BARD,CTBQUERG,CT BARRANQUERAS Chaco,NORESTE,CHACO,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,"346,7"
2021,1/8/2021,PNEGHI,PNEGHI,CHPNEGRG,C.H.PUNTA NEGRA - EPSE,CUYO,SAN JUAN,Argentina,TURB HIDRAULICA,Hidráulica,HID,Resto Hidráulico,Cuyo,"6.338,1"
2021,1/8/2021,CHEPDI01,CHEP,EDELARFG,EDELAR GENERACION,NOROESTE,LA RIOJA,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"869,4"
2021,1/8/2021,PZUEDI01,PZUE,EDELARFG,EDELAR GENERACION,NOROESTE,LA RIOJA,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"151,4"
2021,1/8/2021,TELLDI01,TELL,EDELARFG,EDELAR GENERACION,NOROESTE,LA RIOJA,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"157,0"
2021,1/8/2021,OLPADI01,OLPA,EDELARFG,EDELAR GENERACION,NOROESTE,LA RIOJA,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,"0,1"
2021,1/8/2021,LRIOTG24,LRIO,GRIOJANG,GENERACION RIOJANA SA,NOROESTE,LA RIOJA,Argentina,TURBO GAS,Térmica,TG,,Noa,"1.382,5"
2021,1/8/2021,MATETG01,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG02,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG03,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG04,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG05,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG06,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG07,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG08,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG09,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,MATETG10,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"0,0"
2021,1/8/2021,BRAGTG03,BRA2,CTBRAG2G,CT BRAGADO 2 - GENNEIA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"5.809,9"
2021,1/8/2021,BRAGTG04,BRA2,CTBRAG2G,CT BRAGADO 2 - GENNEIA,BUENOS AIRES,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"8.783,5"
2021,1/8/2021,ZAPATG01,ZAPA,CTZAPPAG,CT ZAPPALORTO - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"108,0"
2021,1/8/2021,ZAPATG02,ZAPA,CTZAPPAG,CT ZAPPALORTO - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"240,2"
2021,1/8/2021,ZAPATG03,ZAPA,CTZAPPAG,CT ZAPPALORTO - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"90,1"
2021,1/8/2021,ZAPATG04,ZAPA,CTZAPPAG,CT ZAPPALORTO - APR ENERGY,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,TG,,Gba - Litoral - Buenos Aires,"406,6"
